american.blackcmd.com,Domain name,TG-3390 infrastructure,High
api.apigmail.com,Domain name,TG-3390 infrastructure,High
apigmail.com,Domain name,TG-3390 infrastructure,High
backup.darkhero.org,Domain name,TG-3390 infrastructure,High
bel.updatawindows.com,Domain name,TG-3390 infrastructure,High
binary.update-onlines.org,Domain name,TG-3390 infrastructure,High
blackcmd.com,Domain name,TG-3390 infrastructure,High
castle.blackcmd.com,Domain name,TG-3390 infrastructure,High
ctcb.blackcmd.com,Domain name,TG-3390 infrastructure,High
darkhero.org,Domain name,TG-3390 infrastructure,High
dav.local-test.com,Domain name,TG-3390 infrastructure,High
test.local-test.com,Domain name,TG-3390 infrastructure,High
dev.local-test.com,Domain name,TG-3390 infrastructure,High
ocean.local-test.com,Domain name,TG-3390 infrastructure,High
ga.blackcmd.com,Domain name,TG-3390 infrastructure,High
helpdesk.blackcmd.com,Domain name,TG-3390 infrastructure,High
helpdesk.csc-na.com,Domain name,TG-3390 infrastructure,High
helpdesk.hotmail-onlines.com,Domain name,TG-3390 infrastructure,High
helpdesk.lnip.org,Domain name,TG-3390 infrastructure,High
hotmail-onlines.com,Domain name,TG-3390 infrastructure,High
jobs.hotmail-onlines.com,Domain name,TG-3390 infrastructure,High
justufogame.com,Domain name,TG-3390 infrastructure,High
lnip.org,Domain name,TG-3390 infrastructure,High
local-test.com,Domain name,TG-3390 infrastructure,High
login.hansoftupdate.com,Domain name,TG-3390 infrastructure,High
long.update-onlines.org,Domain name,TG-3390 infrastructure,High
longlong.update-onlines.org,Domain name,TG-3390 infrastructure,High
longshadow.dyndns.org,Domain name,TG-3390 infrastructure,High
longshadow.update-onlines.org,Domain name,TG-3390 infrastructure,High
longykcai.update-onlines.org,Domain name,TG-3390 infrastructure,High
lostself.update-onlines.org,Domain name,TG-3390 infrastructure,High
mac.navydocument.com,Domain name,TG-3390 infrastructure,High
mail.csc-na.com,Domain name,TG-3390 infrastructure,High
mantech.updatawindows.com,Domain name,TG-3390 infrastructure,High
micr0soft.org,Domain name,TG-3390 infrastructure,High
microsoft-outlook.org,Domain name,TG-3390 infrastructure,High
mtc.navydocument.com,Domain name,TG-3390 infrastructure,High
navydocument.com,Domain name,TG-3390 infrastructure,High
mtc.update-onlines.org,Domain name,TG-3390 infrastructure,High
news.hotmail-onlines.com,Domain name,TG-3390 infrastructure,High
oac.3322.org,Domain name,TG-3390 infrastructure,High
ocean.apigmail.com,Domain name,TG-3390 infrastructure,High
pchomeserver.com,Domain name,TG-3390 infrastructure,High
registre.organiccrap.com,Domain name,TG-3390 infrastructure,High
security.pomsys.org,Domain name,TG-3390 infrastructure,High
services.darkhero.org,Domain name,TG-3390 infrastructure,High
sgl.updatawindows.com,Domain name,TG-3390 infrastructure,High
shadow.update-onlines.org,Domain name,TG-3390 infrastructure,High
sonoco.blackcmd.com,Domain name,TG-3390 infrastructure,High
test.logmastre.com,Domain name,TG-3390 infrastructure,High
up.gtalklite.com,Domain name,TG-3390 infrastructure,High
updatawindows.com,Domain name,TG-3390 infrastructure,High
update-onlines.org,Domain name,TG-3390 infrastructure,High
update.deepsoftupdate.com,Domain name,TG-3390 infrastructure,High
update.hancominc.com,Domain name,TG-3390 infrastructure,High
update.micr0soft.org,Domain name,TG-3390 infrastructure,High
update.pchomeserver.com,Domain name,TG-3390 infrastructure,High
urs.blackcmd.com,Domain name,TG-3390 infrastructure,High
wang.darkhero.org,Domain name,TG-3390 infrastructure,High
webs.local-test.com,Domain name,TG-3390 infrastructure,High
word.apigmail.com,Domain name,TG-3390 infrastructure,High
wordpress.blackcmd.com,Domain name,TG-3390 infrastructure,High
working.blackcmd.com,Domain name,TG-3390 infrastructure,High
working.darkhero.org,Domain name,TG-3390 infrastructure,High
working.hotmail-onlines.com,Domain name,TG-3390 infrastructure,High
www.trendmicro-update.org,Domain name,TG-3390 infrastructure,High
www.update-onlines.org,Domain name,TG-3390 infrastructure,High
x.apigmail.com,Domain name,TG-3390 infrastructure,High
ykcai.update-onlines.org,Domain name,TG-3390 infrastructure,High
ykcailostself.dyndns-free.com,Domain name,TG-3390 infrastructure,High
ykcainobody.dyndns.org,Domain name,TG-3390 infrastructure,High
zj.blackcmd.com,Domain name,TG-3390 infrastructure,High
laxness-lab.com,Domain name,TG-3390 infrastructure,High
google-ana1ytics.com,Domain name,TG-3390 infrastructure,High
www.google-ana1ytics.com,Domain name,TG-3390 infrastructure,High
ftp.google-ana1ytics.com,Domain name,TG-3390 infrastructure,High
hotmailcontact.net,Domain name,TG-3390 infrastructure,High
208.115.242.36,IP address,TG-3390 infrastructure,High
208.115.242.37,IP address,TG-3390 infrastructure,High
208.115.242.38,IP address,TG-3390 infrastructure,High
66.63.178.142,IP address,TG-3390 infrastructure,High
72.11.148.220,IP address,TG-3390 infrastructure,High
72.11.141.133,IP address,TG-3390 infrastructure,High
74.63.195.236,IP address,TG-3390 infrastructure,High
74.63.195.236,IP address,TG-3390 infrastructure,High
74.63.195.237,IP address,TG-3390 infrastructure,High
74.63.195.238,IP address,TG-3390 infrastructure,High
103.24.0.142,IP address,TG-3390 infrastructure,High
103.24.1.54,IP address,TG-3390 infrastructure,High
106.187.45.162,IP address,TG-3390 infrastructure,High
192.151.236.138,IP address,TG-3390 infrastructure,High
192.161.61.19,IP address,TG-3390 infrastructure,High
192.161.61.20,IP address,TG-3390 infrastructure,High
192.161.61.22,IP address,TG-3390 infrastructure,High
103.24.1.54,IP address,TG-3390 infrastructure,High
67.215.232.179,IP address,TG-3390 infrastructure,High
96.44.177.195,IP address,TG-3390 infrastructure,High
49.143.192.221,IP address,TG-3390 infrastructure,Medium
67.215.232.181,IP address,TG-3390 infrastructure,Medium
67.215.232.182,IP address,TG-3390 infrastructure,Medium
96.44.182.243,IP address,TG-3390 infrastructure,Medium
96.44.182.245,IP address,TG-3390 infrastructure,Medium
96.44.182.246,IP address,TG-3390 infrastructure,Medium
49.143.205.30,IP address,TG-3390 infrastructure,Medium
1cb4b74e9d030afbb18accf6ee2bfca1,MD5 hash,HttpBrowser RAT dropper,High
